transaction_id,date,customer_id,product_category,quantity,price_per_unit,sales,avg_item_value,is_high_value_transaction,is_bulk_purchase
1,2023-11-24,CUST001,Beauty,3,50,150,50.0,0,0
2,2023-02-27,CUST002,Clothing,2,500,1000,500.0,0,0
3,2023-01-13,CUST003,Electronics,1,30,30,30.0,0,0
4,2023-05-21,CUST004,Clothing,1,500,500,500.0,0,0
5,2023-05-06,CUST005,Beauty,2,50,100,50.0,0,0
6,2023-04-25,CUST006,Beauty,1,30,30,30.0,0,0
7,2023-03-13,CUST007,Clothing,2,25,50,25.0,0,0
8,2023-02-22,CUST008,Electronics,4,25,100,25.0,0,0
9,2023-12-13,CUST009,Electronics,2,300,600,300.0,0,0
10,2023-10-07,CUST010,Clothing,4,50,200,50.0,0,0
11,2023-02-14,CUST011,Clothing,2,50,100,50.0,0,0
12,2023-10-30,CUST012,Beauty,3,25,75,25.0,0,0
13,2023-08-05,CUST013,Electronics,3,500,1500,500.0,1,0
14,2023-01-17,CUST014,Clothing,4,30,120,30.0,0,0
15,2023-01-16,CUST015,Electronics,4,500,2000,500.0,1,0
16,2023-02-17,CUST016,Clothing,3,500,1500,500.0,1,0
17,2023-04-22,CUST017,Clothing,4,25,100,25.0,0,0
18,2023-04-30,CUST018,Electronics,2,25,50,25.0,0,0
19,2023-09-16,CUST019,Clothing,2,25,50,25.0,0,0
20,2023-11-05,CUST020,Clothing,3,300,900,300.0,0,0
21,2023-01-14,CUST021,Beauty,1,500,500,500.0,0,0
22,2023-10-15,CUST022,Clothing,2,50,100,50.0,0,0
23,2023-04-12,CUST023,Clothing,4,30,120,30.0,0,0
24,2023-11-29,CUST024,Clothing,1,300,300,300.0,0,0
25,2023-12-26,CUST025,Beauty,1,50,50,50.0,0,0
26,2023-10-07,CUST026,Electronics,2,500,1000,500.0,0,0
27,2023-08-03,CUST027,Beauty,2,25,50,25.0,0,0
28,2023-04-23,CUST028,Beauty,1,500,500,500.0,0,0
29,2023-08-18,CUST029,Electronics,1,30,30,30.0,0,0
30,2023-10-29,CUST030,Beauty,3,300,900,300.0,0,0
31,2023-05-23,CUST031,Electronics,4,300,1200,300.0,1,0
32,2023-01-04,CUST032,Beauty,3,30,90,30.0,0,0
33,2023-03-23,CUST033,Electronics,2,50,100,50.0,0,0
34,2023-12-24,CUST034,Clothing,3,50,150,50.0,0,0
35,2023-08-05,CUST035,Beauty,3,300,900,300.0,0,0
36,2023-06-24,CUST036,Beauty,3,300,900,300.0,0,0
37,2023-05-23,CUST037,Beauty,3,25,75,25.0,0,0
38,2023-03-21,CUST038,Beauty,4,50,200,50.0,0,0
39,2023-04-21,CUST039,Clothing,4,30,120,30.0,0,0
40,2023-06-22,CUST040,Beauty,1,50,50,50.0,0,0
41,2023-02-22,CUST041,Clothing,2,25,50,25.0,0,0
42,2023-02-17,CUST042,Clothing,3,300,900,300.0,0,0
43,2023-07-14,CUST043,Clothing,1,300,300,300.0,0,0
44,2023-02-19,CUST044,Clothing,1,25,25,25.0,0,0
45,2023-07-03,CUST045,Electronics,1,30,30,30.0,0,0
46,2023-06-26,CUST046,Electronics,4,300,1200,300.0,1,0
47,2023-11-06,CUST047,Beauty,3,500,1500,500.0,1,0
48,2023-05-16,CUST048,Electronics,3,300,900,300.0,0,0
49,2023-01-23,CUST049,Electronics,2,500,1000,500.0,0,0
50,2023-08-24,CUST050,Beauty,3,25,75,25.0,0,0
51,2023-10-02,CUST051,Beauty,3,25,75,25.0,0,0
52,2023-03-05,CUST052,Beauty,1,300,300,300.0,0,0
53,2023-07-13,CUST053,Electronics,2,50,100,50.0,0,0
54,2023-02-10,CUST054,Electronics,3,500,1500,500.0,1,0
55,2023-10-10,CUST055,Beauty,4,30,120,30.0,0,0
56,2023-05-31,CUST056,Clothing,3,300,900,300.0,0,0
57,2023-11-18,CUST057,Beauty,1,30,30,30.0,0,0
58,2023-11-13,CUST058,Clothing,4,300,1200,300.0,1,0
59,2023-07-05,CUST059,Clothing,1,50,50,50.0,0,0
60,2023-10-23,CUST060,Beauty,3,50,150,50.0,0,0
61,2023-04-09,CUST061,Beauty,4,50,200,50.0,0,0
62,2023-12-27,CUST062,Beauty,2,50,100,50.0,0,0
63,2023-02-05,CUST063,Electronics,2,25,50,25.0,0,0
64,2023-01-24,CUST064,Clothing,4,25,100,25.0,0,0
